Leatherface: The Texas Chainsaw Massacre III,https://en.wikipedia.org//wiki/Leatherface:_The_Texas_Chainsaw_Massacre_III
The Lemon Sisters,https://en.wikipedia.org//wiki/The_Lemon_Sisters
Lionheart (1990 film),https://en.wikipedia.org//wiki/Lionheart_(1990_film)
The Long Walk Home,https://en.wikipedia.org//wiki/The_Long_Walk_Home
Look Who's Talking Too,https://en.wikipedia.org//wiki/Look_Who%27s_Talking_Too
Look Who's Talking,https://en.wikipedia.org//wiki/Look_Who%27s_Talking
Loose Cannons (1990 film),https://en.wikipedia.org//wiki/Loose_Cannons_(1990_film)
Lord of the Flies (1990 film),https://en.wikipedia.org//wiki/Lord_of_the_Flies_(1990_film)
Love at Large,https://en.wikipedia.org//wiki/Love_at_Large
Mack the Knife (1989 film),https://en.wikipedia.org//wiki/Mack_the_Knife_(1989_film)
Madhouse (1990 film),https://en.wikipedia.org//wiki/Madhouse_(1990_film)
A Man Called Sarge,https://en.wikipedia.org//wiki/A_Man_Called_Sarge
Maniac Cop 2,https://en.wikipedia.org//wiki/Maniac_Cop_2
Marked for Death,https://en.wikipedia.org//wiki/Marked_for_Death
Martians Go Home (film),https://en.wikipedia.org//wiki/Martians_Go_Home_(film)
Masters of Menace,https://en.wikipedia.org//wiki/Masters_of_Menace
Megaville,https://en.wikipedia.org//wiki/Megaville
Memphis Belle (film),https://en.wikipedia.org//wiki/Memphis_Belle_(film)
Men at Work (1990 film),https://en.wikipedia.org//wiki/Men_at_Work_(1990_film)
Men Don't Leave,https://en.wikipedia.org//wiki/Men_Don%27t_Leave
Men of Respect,https://en.wikipedia.org//wiki/Men_of_Respect
Macbeth,https://en.wikipedia.org//wiki/Macbeth
Joe MacBeth,https://en.wikipedia.org//wiki/Joe_MacBeth
Meridian: Kiss of the Beast,https://en.wikipedia.org//wiki/Meridian:_Kiss_of_the_Beast
Mermaids (1990 film),https://en.wikipedia.org//wiki/Mermaids_(1990_film)
Metamorphosis: The Alien Factor,https://en.wikipedia.org//wiki/Metamorphosis:_The_Alien_Factor
Metropolitan (1990 film),https://en.wikipedia.org//wiki/Metropolitan_(1990_film)
Miami Blues (film),https://en.wikipedia.org//wiki/Miami_Blues_(film)
Miller's Crossing,https://en.wikipedia.org//wiki/Miller%27s_Crossing
Misery (film),https://en.wikipedia.org//wiki/Misery_(film)
Mister Frost,https://en.wikipedia.org//wiki/Mister_Frost
Mister Johnson (film),https://en.wikipedia.org//wiki/Mister_Johnson_(film)
Mo' Better Blues,https://en.wikipedia.org//wiki/Mo%27_Better_Blues
Mob Story,https://en.wikipedia.org//wiki/Mob_Story
A Mom for Christmas,https://en.wikipedia.org//wiki/A_Mom_for_Christmas
Moon 44,https://en.wikipedia.org//wiki/Moon_44
Mother Goose Rock 'n' Rhyme,https://en.wikipedia.org//wiki/Mother_Goose_Rock_%27n%27_Rhyme
Mountains of the Moon (film),https://en.wikipedia.org//wiki/Mountains_of_the_Moon_(film)
Mr. Destiny,https://en.wikipedia.org//wiki/Mr._Destiny
Mr. and Mrs. Bridge,https://en.wikipedia.org//wiki/Mr._and_Mrs._Bridge
Murder in Mississippi,https://en.wikipedia.org//wiki/Murder_in_Mississippi
My Blue Heaven (1990 film),https://en.wikipedia.org//wiki/My_Blue_Heaven_(1990_film)
