,Box office
277,272700000.0
278,175000000.0
279,36489888.0
280,96800000.0
281,246000.0
282,9100000.0
283,2712293.0
284,7683267.0
285,8000000.0
286,11000863.0
287,15500000.0
288,939277.0
289,336396.0
290,978775.0
291,78600000.0
292,520900000.0
293,45400000.0
294,110505.0
295,15073942.0
296,418807.0
297,4693236.0
298,63700000.0
299,34800000.0
300,1008404.0
301,7300000.0
302,1182273.0
303,59000000.0
304,29000000.0
305,504100000.0
306,159800000.0
307,13000000.0
308,6400000.0
309,19900000.0
310,2000000.0
311,352900000.0
312,266800000.0
313,8400000.0
314,147200000.0
315,3000000.0
316,4500000.0
317,411000000.0
318,131000000.0
319,918239.0
320,215800000.0
321,16600000.000000002
322,25800000.0
323,22518097.0
324,9500000.0
325,7000000.0
326,13200000.0
327,21591800.0
328,14100000.0
329,3052738.0
330,479676.0
331,25105517.0
332,149000000.0
333,16600000.000000002
334,4836637.0
335,83000000.0
336,8403433.0
337,40700000.0
338,231826.0
339,137800000.0
340,32700000.000000004
341,243200000.0
342,75000000.0
343,6132924.0
344,128000000.0
345,37000000.0
346,376008.0
347,1300000.0
348,9200000.0
349,10700000.0
350,3721911.0
351,140000000.0
352,67000000.0
353,26055.0
354,29300000.0
355,359000000.0
356,96000000.0
357,35000000.0
358,94900000.0
359,10600000.0
360,4900000.0
361,11390479.0
362,20100000.0
363,479169.0
364,3043000.0
365,31500000.0
366,21100000.0
367,14800000.0
368,143000000.0
369,32100000.0
370,132400000.0
371,23400000.0
372,1514114.0
373,321700000.0
374,1050861.0
375,7200000.0
376,2287928.0
377,1000000.0
378,754935.0
379,73000000.0
380,6700000.0
381,45000000.0
382,14400000.0
383,1526697.0
384,50800000.0
385,1102469.0
386,40227006.0
387,2000000.0
388,20883046.0
389,13300000.0
390,27200000.0
391,64099999.99999999
392,2000000.0
393,2800000.0
394,6202756.0
395,2000000.0
396,5500000.0
397,8669847.0
398,1500000.0
399,1659542.0
400,4000000.0
401,66000000.0
402,4814619.0
403,178000000.0
404,17100000.0
405,28900000.0
406,1800000.0
407,2800000.0
408,22697691.0
409,3067917.0
410,15160000.0
411,4651977.0
412,5000.0
413,37100000.0
414,14400000.0
415,2502551.0
416,2800000.0
417,66000000.0
418,147724.0
419,47000000.0
420,11600000.0
421,919286.0
422,2814.0
423,134100000.0
424,14700000.0
425,115103.0
426,43800000.0
427,17180393.0
428,84000000.0
429,18500000.0
430,231600000.0
431,30500000.0
432,105200000.0
433,1373196.0
434,12000000.0
435,70600000.0
436,422503.0
437,21000000.0
438,12000000.0
439,20473.0
440,2922094.0
441,22660758.0
442,3600000.0
443,23300000.0
444,3206714.0
445,156600000.0
446,159200000.0
447,95000000.0
448,57138719.0
449,28000000.0
450,1723319.0
451,183100000.0
452,11100000.0
453,90800000.0
454,18000000.0
455,5519569.0
456,2791515.0
457,1468300.0
458,48900000.0
459,24100000.0
460,32300000.0
461,2900000.0
462,69000000.0
463,9700000.0
464,30000000.0
465,112547.0
466,21500000.0
467,8000000.0
468,543091.0
469,5800000.0
470,118243066.0
471,30000000.0
472,6044652.0
473,57400000.0
474,4496583.0
475,764724.0
476,38000000.0
477,10000000.0
478,17952857.0
479,1800000.0
480,17300000.0
481,17900000.0
482,2000000.0
483,37000000.0
484,6011745.0
485,255000000.0
486,21300000.0
487,154900000.0
488,40700000.0
489,13600000.0
490,23671.0
491,1497222.0
492,10600000.0
493,92000000.0
494,8000000.0
